
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 1.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
1993	97	166
1994	87	154
1995	86	145
1996	90	144
1997	102	156
1998	119	177
1999	139	198
2000	161	211
2001	181	212
2002	198	206
2003	208	195
2004	208	189
2005	201	190
2006	186	194
2007	166	195
2008	145	192
2009	125	178
2010	107	161
2011	95	149
2012	89	148
2013	90	158
2014	99	177
2015	114	196
2016	134	208
2017	156	208
2018	179	204
2019	197	199
2020	208	200
2021	209	208
2022	205	217
2023	193	217
2024	176	210
2025	156	192
2026	136	171
2027	117	158
2028	102	157
2029	92	166
2030	91	181
2031	96	193
2032	110	199
2033	130	198
2034	152	197
2035	174	198
2036	193	206
2037	205	219
2038	209	232
2039	208	233
2040	200	225
2041	186	205
2042	168	185
2043	147	171
2044	126	170
2045	108	177
2046	95	187
2047	93	191
2048	96	191
2049	108	187
2050	126	186
2051	146	191
2052	167	206
2053	186	225
2054	200	238
2055	210	239
2056	211	232
2057	207	216
2058	195	198
2059	177	188
2060	155	187
2061	133	192
2062	114	194
2063	100	193
2064	96	185
2065	97	176
2066	106	175
2067	121	183
2068	139	202
2069	159	223
2070	179	238
2071	196	239
2072	209	233
2073	213	219
2074	212	209
2075	201	205
2076	183	206
2077	162	208
2078	140	207
2079	121	197
2080	106	182
2081	99	170
2082	98	168
2083	102	175
2084	113	194
2085	130	215
2086	150	229
2087	171	230
2088	191	225
2089	206	216
2090	213	214
2091	213	216
2092	204	223
